Height.m.x,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95
3.35,1.6195,0.138190187,0.200370749,3.008624318,16.95421691,NA,42.05607477,0,0.085375,0.1202125,0.1495,0.17225,0.193725,0.2198125,0.25215,0.2833125,0.33705,0.4273625
3.2,1.674,0.070841082,0.171237521,5.490268064,40.39932977,NA,32.20625528,0,0,0,0,0.0545,0.0785,0.1005,0.1205,0.142925,0.174,0.27
3.35,0.63275,0.014674075,0.065337241,5.448641903,36.61114052,NA,6.22972096,0,0,0,0,0,0,0,0,0,0,0.131
16.95,14.25975,7.444161248,4.233019053,-0.86102671,2.318827598,0.801276919,67.36020806,78.80364109,8.9455,9.2651375,9.52495,9.8300375,10.145825,10.392375,10.74175,11.147625,11.570325,12.1834
15.8,12.86375,5.578707006,4.074747511,-0.250387441,1.638432574,0.859527051,57.70700637,70.57324841,6.55675,7.0769875,7.5483,8.10575,8.575875,8.969125,9.4222,9.9322375,10.4236,11.18155
17.1,13.61925,4.254450438,4.559344408,0.3967104,1.43515909,0.707804343,43.89750506,48.01078894,1.30975,3.609675,6.617,7.703325,8.3939,8.926625,9.42255,9.846225,10.57575,11.312175
15.45,13.88425,7.236096662,3.837658896,-0.888719127,2.591202189,0.842448106,66.48122392,81.98887344,8.300125,8.609475,8.9753,9.2868,9.535375,9.905,10.32005,10.6539375,11.202775,11.7666125
8,17.72525,5.793851174,6.278201188,0.439227032,1.441904019,0.743726349,41.12506827,52.48498088,2.42475,3.637875,7.74375,10.538125,11.702,12.49825,13.22575,13.9065,14.755,15.729
14.3,10.927,4.682887313,3.152316589,-0.292834691,1.780904838,0.906510652,56.48379052,73.62842893,5.33525,5.75045,6.1566,6.511825,6.90385,7.322125,7.7164,8.062825,8.409925,8.9708
10.1,15.81,4.735681115,4.875864076,0.63031085,1.970501209,0.827031719,41.62288383,58.66900175,3.39575,4.15175,5.021,5.90745,7.14875,8.89475,10.4283,11.5432,12.5169,13.60975
7.3,5.21425,0.76164325,1.184578151,1.447804681,4.001196444,0.54086396,32.96639629,17.61297798,0,0,0.109,0.438875,0.9575,1.388375,1.80975,2.248625,2.713125,3.337625
9.5,6.60525,1.309351085,1.498005418,0.877840764,2.617147336,0.689018524,41.09138725,31.68967784,0.54225,1.0552625,1.39505,1.82,2.08655,2.4108125,2.73175,3.1811,3.64625,4.24475
7.95,6.18975,1.067221409,1.359066389,1.202575533,3.681762956,0.627386931,40.06200482,24.14743369,0.1875,0.63625,1.0758,1.36925,1.6536,1.956375,2.2135,2.586675,3.07925,3.85995
8.5,6.3265,1.510835409,1.573107566,0.708219571,2.369810859,0.745099601,43.11133706,37.16319268,1.12525,1.42055,1.7697,2.143225,2.39405,2.689125,3.0755,3.3916,3.83415,4.4658
12.35,11.1555,4.601098725,3.276541486,-0.302606052,1.681552483,0.83149891,60.16997167,70.14164306,5.5735,5.87065,6.2443,6.5801,6.8937,7.15275,7.5117,7.94505,8.46415,9.0809
14.15,10.84775,4.092292692,3.335833279,-0.096435976,1.480077431,0.800682565,56.29139073,63.38694418,4.905875,5.4211625,5.8677,6.279275,6.5896,6.892125,7.2788,7.7446125,8.26395,8.7595375
13,10.3395,4.233063889,3.228009697,-0.257809007,1.506113626,0.800299235,59.41798942,66.03174603,5.264625,5.6774625,6.04215,6.3398875,6.64715,6.94575,7.22055,7.559475,7.97645,8.5373375
14.1,11.69525,4.453770051,3.325762502,-0.214672504,1.609759754,0.81106138,59.83450032,67.09102482,5.3785,5.692375,6.0635,6.4705,6.81525,7.169125,7.5355,7.91575,8.445,9.03175
8.4,6.436,1.401584624,1.563574256,0.99529591,2.844586883,0.700437331,39.61558996,31.60704752,0.3995,0.97,1.382,1.79135,2.09245,2.451,2.8505,3.3538,3.90045,4.51765
7.2,16.6395,1.58950675,2.438468695,3.398589738,17.94418692,0.517576447,37.65,31,0.78575,1.1583625,1.4676,1.768625,2.05575,2.3566875,2.7584,3.237075,3.76665,4.5098125
6.7,4.89325,0.786210849,1.100687092,1.354064956,3.914026821,0.620297033,35.13667426,16.79954442,0.139875,0.2015,0.30575,0.8045625,1.184125,1.4675625,1.763,2.0805,2.4555,3.1615625
7.95,4.87025,0.342992239,0.752787303,2.889208948,11.34124001,0.312722739,19.0087146,5.936819172,0,0.0548125,0.0885,0.1194375,0.150125,0.1963125,0.2985,0.6581875,1.2945,2.169
15.85,12.47575,5.221787882,3.907739259,-0.238621307,1.564929255,0.824532639,58.23954984,68.00643087,6.286,6.7595625,7.2502,7.74805,8.111175,8.4435625,8.8428,9.3191875,9.89745,10.5097
17.85,13.69425,5.692558373,4.290473142,-0.268565566,1.521725868,0.818900211,59.02122642,67.51179245,7.199625,7.61025,7.97825,8.4616875,8.90875,9.3600625,9.6715,10.084875,10.598375,11.296
9.65,13.41325,2.383023723,2.057504156,1.338744281,6.544460783,0.694126031,48.00673779,56.20437956,2.293,2.521,2.704,2.93075,3.15275,3.44075,3.80925,4.158,4.68475,5.87875
10.85,7.9045,1.49997182,1.843964619,0.983980025,2.770503424,0.678514431,39.54189271,34.77998794,0.26875,0.617225,1.43575,1.9837,2.4937,2.84425,3.3049,3.896375,4.44725,5.1075
9.45,6.87425,1.718556517,1.707900298,0.72647769,2.590754999,0.807702926,44.19551935,39.98642227,1.3855,1.63085,2.0013,2.34735,2.68305,2.96975,3.219,3.67365,4.1395,4.93945
11.7,9.09825,2.697634069,2.35296106,0.43071432,2.075072097,0.833240931,47.36367733,57.45831456,2.55825,2.82955,3.2316,3.6061,4.01665,4.479375,4.96905,5.503775,6.12385,6.959275
5.6,6.6065,0.955690951,1.462261714,1.434211082,3.993600179,0.569703067,32.80106454,22.82102462,0,0.066425,0.18585,0.533875,1.4011,1.81775,2.16065,2.65465,3.2963,4.231775
10.4,7.84225,1.035547266,1.483990534,1.66054708,5.182083774,0.551357638,32.86458333,21.5625,0.193875,0.3010875,0.47445,0.8382125,1.242025,1.7178125,2.1974,2.62725,3.292425,4.2737
5.4,20.3585,2.956876098,4.673738443,1.908601907,5.892906532,0.587583952,29.07317073,35.12195122,0.422875,0.61445,1.24595,2.046025,2.817425,3.766375,5.74065,7.70025,9.28595,14.7623625
8.5,10.8895,2.06490379,2.078757868,0.844233479,3.20429743,0.719246122,45.23809524,46.06413994,1.727625,2.085175,2.4227,2.7737875,3.10475,3.5684375,3.97475,4.396375,4.96135,5.726175
15,13.63725,6.805181278,4.0630077,-0.755866114,2.098394822,0.812172421,66.70353982,76.54867257,8.26125,8.6169875,8.8911,9.17905,9.493525,9.76725,10.0772,10.4748625,10.8787,11.4602125
5.1,21.537,3.215920831,5.815430448,1.49420753,3.531676997,0.398799327,23.05789213,23.35477486,0.11925,0.15025,0.18625,0.2505,0.403,1.0125,9.86025,12.294,14.18025,16.19075
15.1,12.67425,4.75919195,4.122274549,-0.01027048,1.377722907,0.775821814,54.85436893,60.27508091,5.5525,6.3514375,6.96675,7.546375,8.11025,8.61075,9.0805,9.45275,9.888375,10.5614375
14.75,12.274,4.794758793,3.142593795,-0.130706619,2.105735841,0.867540049,54.63917526,76.7738023,5.1385,5.59045,6.03,6.35195,6.62745,6.92725,7.5282,8.00815,8.7833,9.55625
10.55,8.5995,2.459435142,2.271142898,0.43230219,1.97660362,0.82189845,49.10377358,53.77358491,2.360125,2.7732375,3.0854,3.4846875,3.8268,4.208625,4.66595,5.2235875,5.760775,6.397025
8.8,9.236,0.722160502,1.621031121,2.542222192,9.071803636,0.367219051,21.00488486,14.58478716,0,0,0,0,0,0.21225,0.84155,1.86875,3.15925,4.56605
9.25,8.71375,1.022367831,1.581722659,1.489279604,4.509658466,0.526926441,32.95099062,24.81751825,0,0,0.10305,0.6331875,1.4024,1.9715,2.4816,2.9337625,3.508325,4.284875
14.35,10.18475,3.370510906,2.618569257,0.278578886,2.14896278,0.872419457,49.34561318,67.47455162,3.31675,3.713625,4.132,4.475325,4.7778,5.23275,5.73745,6.3305,7.0005,7.873775
12.65,10.73225,4.320429886,3.278051643,-0.27399626,1.492857068,0.806641216,58.36491608,66.48619383,5.475,5.916675,6.27205,6.540425,6.8021,7.122875,7.4056,7.722775,8.03915,8.482625
12.25,9.837,3.272379216,2.441720548,0.05938645,1.940675741,0.8732826,52.98391282,66.83964712,3.4635,3.79655,4.13135,4.5695,4.91315,5.261375,5.53285,5.87535,6.3496,7.0561
7.1,4.94675,0.614727331,1.076183895,1.78298213,5.195889507,0.518542579,25.74850299,14.11462789,0,0.06875,0.0922,0.1284,0.2468,0.74825,1.45455,1.94355,2.3787,3.14445
2.9,6.7015,0.141347147,0.420303607,9.918674651,126.5661613,0.052566307,30.52536232,0.905797101,0,0.0719,0.101,0.1234375,0.144825,0.16925,0.1963,0.242275,0.30605,0.456075
16.95,13.36825,7.707143238,3.864247625,-1.071130311,2.879442088,0.825128528,65.82278481,83.21119254,8.99325,9.27025,9.53625,9.82625,10.08625,10.3355,10.68625,11.06425,11.42675,11.93275
10.95,19.3315,6.677094363,6.347739649,0.309568502,1.530517918,0.81958054,45.74735783,61.29843986,5.27975,6.897775,9.2204,10.706425,11.87665,12.772625,13.718,14.645675,15.6258,16.7376
9.25,6.645,1.258265337,1.469679975,0.987993779,3.000382146,0.676581852,40.67897558,29.06491959,0.497,0.933175,1.34205,1.6536,1.9207,2.29425,2.67565,3.07355,3.48215,4.10785
13.95,10.25075,4.247723152,3.198591296,-0.212916173,1.57020839,0.834928212,58.43335439,67.53000632,5.054,5.3915,5.86375,6.28665,6.63075,6.98,7.2921,7.664025,8.1246,8.631825
8.8,7.1715,1.720900535,1.651998356,0.755570359,2.592048811,0.743464772,44.99027237,39.83463035,1.33775,1.721125,1.97825,2.3054375,2.56875,2.93675,3.2805,3.6615625,4.178375,4.90525
